Zonas  Turísticas;Periodo;Total
Andalucía: Costa De Almería;2012M07;5,86
Andalucía: Costa De Almería;2012M06;3,27
Andalucía: Costa De Almería;2012M05;2,68
Andalucía: Costa De Almería;2012M04;4,2
Andalucía: Costa De Almería;2012M03;8,44
Andalucía: Costa De Almería;2012M02;8,31
Andalucía: Costa De Almería;2012M01;10,35
Andalucía: Costa De Almería;2011M12;5,83
Andalucía: Costa De Almería;2011M11;7,43
Andalucía: Costa De Almería;2011M10;5,59
Andalucía: Costa De Almería;2011M09;5,42
Andalucía: Costa De Almería;2011M08;6,51
Andalucía: Costa De Almería;2011M07;5,65
Andalucía: Costa De Almería;2011M06;3,73
Andalucía: Costa De Almería;2011M05;3,84
Andalucía: Costa De Almería;2011M04;4,34
Andalucía: Costa De Almería;2011M03;7,21
Andalucía: Costa De Almería;2011M02;6,78
Andalucía: Costa De Almería;2011M01;9,16
Andalucía: Costa De Almería;2010M12;5,48
Andalucía: Costa De Almería;2010M11;6,08
Andalucía: Costa De Almería;2010M10;6,47
Andalucía: Costa De Almería;2010M09;5,87
Andalucía: Costa De Almería;2010M08;6,54
Andalucía: Costa De Almería;2010M07;5,39
Andalucía: Costa De Almería;2010M06;3,75
Andalucía: Costa De Almería;2010M05;4,44
Andalucía: Costa De Almería;2010M04;4,62
Andalucía: Costa De Almería;2010M03;8,09
Andalucía: Costa De Almería;2010M02;7,9
Andalucía: Costa De Almería;2010M01;8,44
Andalucía: Costa De Almería;2009M12;5,48
Andalucía: Costa De Almería;2009M11;8,54
Andalucía: Costa De Almería;2009M10;5,37
Andalucía: Costa De Almería;2009M09;6,44
Andalucía: Costa De Almería;2009M08;7,6
Andalucía: Costa De Almería;2009M07;6,99
Andalucía: Costa De Almería;2009M06;4,33
Andalucía: Costa De Almería;2009M05;3,99
Andalucía: Costa De Almería;2009M04;4,47
Andalucía: Costa De Almería;2009M03;9,5
Andalucía: Costa De Almería;2009M02;10
Andalucía: Costa De Almería;2009M01;19,11
Andalucía: Costa De Almería;2008M12;5,91
Andalucía: Costa De Almería;2008M11;6,26
Andalucía: Costa De Almería;2008M10;6,35
Andalucía: Costa De Almería;2008M09;6,26
Andalucía: Costa De Almería;2008M08;6,98
Andalucía: Costa De Almería;2008M07;7,06
Andalucía: Costa De Almería;2008M06;4,88
Andalucía: Costa De Almería;2008M05;5,08
Andalucía: Costa De Almería;2008M04;3,55
Andalucía: Costa De Almería;2008M03;6,43
Andalucía: Costa De Almería;2008M02;6,03
Andalucía: Costa De Almería;2008M01;8,9
Andalucía: Costa De Almería;2007M12;5,15
Andalucía: Costa De Almería;2007M11;5,41
Andalucía: Costa De Almería;2007M10;4,61
Andalucía: Costa De Almería;2007M09;5,78
Andalucía: Costa De Almería;2007M08;7,22
Andalucía: Costa De Almería;2007M07;7,31
Andalucía: Costa De Almería;2007M06;4,99
Andalucía: Costa De Almería;2007M05;4,34
Andalucía: Costa De Almería;2007M04;4,35
Andalucía: Costa De Almería;2007M03;5,01
Andalucía: Costa De Almería;2007M02;7,16
Andalucía: Costa De Almería;2007M01;8,52
Andalucía: Costa De Almería;2006M12;4,65
Andalucía: Costa De Almería;2006M11;4,91
Andalucía: Costa De Almería;2006M10;5,1
Andalucía: Costa De Almería;2006M09;9,23
Andalucía: Costa De Almería;2006M08;10,14
Andalucía: Costa De Almería;2006M07;10,7
Andalucía: Costa De Almería;2006M06;5,77
Andalucía: Costa De Almería;2006M05;4,4
Andalucía: Costa De Almería;2006M04;4,64
Andalucía: Costa De Almería;2006M03;8,03
Andalucía: Costa De Almería;2006M02;6,96
Andalucía: Costa De Almería;2006M01;12,23
Andalucía: Costa De Almería;2005M12;6,73
Andalucía: Costa De Almería;2005M11;6,21
Andalucía: Costa De Almería;2005M10;8,08
Andalucía: Costa De Almería;2005M09;13,13
Andalucía: Costa De Almería;2005M08;11,34
Andalucía: Costa De Almería;2005M07;12,87
Andalucía: Costa De Almería;2005M06;6,68
Andalucía: Costa De Almería;2005M05;8,15
Andalucía: Costa De Almería;2005M04;5,09
Andalucía: Costa De Almería;2005M03;8,96
Andalucía: Costa De Almería;2005M02;6,87
Andalucía: Costa De Almería;2005M01;8,63
Andalucía: Costa De La Luz De Cádiz;2022M08;4,17
Andalucía: Costa De La Luz De Cádiz;2022M07;3,83
Andalucía: Costa De La Luz De Cádiz;2022M06;3,21
Andalucía: Costa De La Luz De Cádiz;2022M05;2,55
Andalucía: Costa De La Luz De Cádiz;2022M04;2,78
Andalucía: Costa De La Luz De Cádiz;2022M03;2,52
Andalucía: Costa De La Luz De Cádiz;2022M02;1,98
Andalucía: Costa De La Luz De Cádiz;2022M01;2,6
