Zonas  Turísticas;Periodo;Total
Andalucía: Costa Tropical (Granada);2007M06;
Andalucía: Costa Tropical (Granada);2007M05;
Andalucía: Costa Tropical (Granada);2007M04;
Andalucía: Costa Tropical (Granada);2007M03;
Andalucía: Costa Tropical (Granada);2007M02;
Andalucía: Costa Tropical (Granada);2007M01;
Andalucía: Costa Tropical (Granada);2006M12;
Andalucía: Costa Tropical (Granada);2006M11;
Andalucía: Costa Tropical (Granada);2006M10;
Andalucía: Costa Tropical (Granada);2006M09;
Andalucía: Costa Tropical (Granada);2006M08;
Andalucía: Costa Tropical (Granada);2006M07;
Andalucía: Costa Tropical (Granada);2006M06;
Andalucía: Costa Tropical (Granada);2006M05;
Andalucía: Costa Tropical (Granada);2006M04;
Andalucía: Costa Tropical (Granada);2006M03;
Andalucía: Costa Tropical (Granada);2006M02;
Andalucía: Costa Tropical (Granada);2006M01;
Andalucía: Costa Tropical (Granada);2005M12;
Andalucía: Costa Tropical (Granada);2005M11;
Andalucía: Costa Tropical (Granada);2005M10;
Andalucía: Costa Tropical (Granada);2005M09;
Andalucía: Costa Tropical (Granada);2005M08;
Andalucía: Costa Tropical (Granada);2005M07;
Andalucía: Costa Tropical (Granada);2005M06;
Andalucía: Costa Tropical (Granada);2005M05;
Andalucía: Costa Tropical (Granada);2005M04;
Andalucía: Costa Tropical (Granada);2005M03;
Andalucía: Costa Tropical (Granada);2005M02;
Andalucía: Costa Tropical (Granada);2005M01;
Asturias (Principado De): Costa Verde;2022M08;6,24
Asturias (Principado De): Costa Verde;2022M07;5,13
Asturias (Principado De): Costa Verde;2022M06;3,29
Asturias (Principado De): Costa Verde;2022M05;2,59
Asturias (Principado De): Costa Verde;2022M04;2,23
Asturias (Principado De): Costa Verde;2022M03;1,98
Asturias (Principado De): Costa Verde;2022M02;1,56
Asturias (Principado De): Costa Verde;2022M01;1,59
Asturias (Principado De): Costa Verde;2021M12;3,3
Asturias (Principado De): Costa Verde;2021M11;3,49
Asturias (Principado De): Costa Verde;2021M10;3,38
Asturias (Principado De): Costa Verde;2021M09;3,56
Asturias (Principado De): Costa Verde;2021M08;5,99
Asturias (Principado De): Costa Verde;2021M07;5,81
Asturias (Principado De): Costa Verde;2021M06;3,28
Asturias (Principado De): Costa Verde;2021M05;3,89
Asturias (Principado De): Costa Verde;2021M04;11,5
Asturias (Principado De): Costa Verde;2021M03;8,03
Asturias (Principado De): Costa Verde;2021M02;.
Asturias (Principado De): Costa Verde;2021M01;.
Asturias (Principado De): Costa Verde;2020M12;.
Asturias (Principado De): Costa Verde;2020M11;.
Asturias (Principado De): Costa Verde;2020M10;4,96
Asturias (Principado De): Costa Verde;2020M09;3,18
Asturias (Principado De): Costa Verde;2020M08;5,51
Asturias (Principado De): Costa Verde;2020M07;4,38
Asturias (Principado De): Costa Verde;2020M06;.
Asturias (Principado De): Costa Verde;2020M05;.
Asturias (Principado De): Costa Verde;2020M04;0
Asturias (Principado De): Costa Verde;2020M03;3,4
Asturias (Principado De): Costa Verde;2020M02;5,45
Asturias (Principado De): Costa Verde;2020M01;6,32
Asturias (Principado De): Costa Verde;2019M12;3,41
Asturias (Principado De): Costa Verde;2019M11;4,25
Asturias (Principado De): Costa Verde;2019M10;1,95
Asturias (Principado De): Costa Verde;2019M09;3,26
Asturias (Principado De): Costa Verde;2019M08;5,2
Asturias (Principado De): Costa Verde;2019M07;4,94
Asturias (Principado De): Costa Verde;2019M06;3,3
Asturias (Principado De): Costa Verde;2019M05;2,58
Asturias (Principado De): Costa Verde;2019M04;2,81
Asturias (Principado De): Costa Verde;2019M03;1,77
Asturias (Principado De): Costa Verde;2019M02;1,8
Asturias (Principado De): Costa Verde;2019M01;3,69
Asturias (Principado De): Costa Verde;2018M12;2,09
Asturias (Principado De): Costa Verde;2018M11;2,29
Asturias (Principado De): Costa Verde;2018M10;2,67
Asturias (Principado De): Costa Verde;2018M09;3,26
Asturias (Principado De): Costa Verde;2018M08;5,42
Asturias (Principado De): Costa Verde;2018M07;5,3
Asturias (Principado De): Costa Verde;2018M06;3,02
Asturias (Principado De): Costa Verde;2018M05;1,85
Asturias (Principado De): Costa Verde;2018M04;2,44
Asturias (Principado De): Costa Verde;2018M03;2,57
Asturias (Principado De): Costa Verde;2018M02;2,83
Asturias (Principado De): Costa Verde;2018M01;3,42
Asturias (Principado De): Costa Verde;2017M12;3,26
Asturias (Principado De): Costa Verde;2017M11;3,27
Asturias (Principado De): Costa Verde;2017M10;2,98
Asturias (Principado De): Costa Verde;2017M09;3,63
Asturias (Principado De): Costa Verde;2017M08;6,11
Asturias (Principado De): Costa Verde;2017M07;5,83
Asturias (Principado De): Costa Verde;2017M06;3,78
Asturias (Principado De): Costa Verde;2017M05;2,93
Asturias (Principado De): Costa Verde;2017M04;2,78
Asturias (Principado De): Costa Verde;2017M03;2,5
Asturias (Principado De): Costa Verde;2017M02;2,14
Asturias (Principado De): Costa Verde;2017M01;2,08
Asturias (Principado De): Costa Verde;2016M12;2,89
Asturias (Principado De): Costa Verde;2016M11;2,97
Asturias (Principado De): Costa Verde;2016M10;3,14
Asturias (Principado De): Costa Verde;2016M09;3,62
Asturias (Principado De): Costa Verde;2016M08;5,53
Asturias (Principado De): Costa Verde;2016M07;4,75
Asturias (Principado De): Costa Verde;2016M06;3,3
Asturias (Principado De): Costa Verde;2016M05;2,1
Asturias (Principado De): Costa Verde;2016M04;1,97
Asturias (Principado De): Costa Verde;2016M03;3,29
Asturias (Principado De): Costa Verde;2016M02;2,57
Asturias (Principado De): Costa Verde;2016M01;2,39
Asturias (Principado De): Costa Verde;2015M12;3,35
Asturias (Principado De): Costa Verde;2015M11;3,52
Asturias (Principado De): Costa Verde;2015M10;2,78
Asturias (Principado De): Costa Verde;2015M09;3,12
Asturias (Principado De): Costa Verde;2015M08;5,71
Asturias (Principado De): Costa Verde;2015M07;4,35
Asturias (Principado De): Costa Verde;2015M06;3,37
Asturias (Principado De): Costa Verde;2015M05;2,27
Asturias (Principado De): Costa Verde;2015M04;2,62
Asturias (Principado De): Costa Verde;2015M03;3,02
Asturias (Principado De): Costa Verde;2015M02;2,58
Asturias (Principado De): Costa Verde;2015M01;8,37
Asturias (Principado De): Costa Verde;2014M12;2,82
Asturias (Principado De): Costa Verde;2014M11;3,25
Asturias (Principado De): Costa Verde;2014M10;2,8
Asturias (Principado De): Costa Verde;2014M09;3,23
Asturias (Principado De): Costa Verde;2014M08;5,58
Asturias (Principado De): Costa Verde;2014M07;5,04
Asturias (Principado De): Costa Verde;2014M06;2,7
Asturias (Principado De): Costa Verde;2014M05;2,72
Asturias (Principado De): Costa Verde;2014M04;2,96
Asturias (Principado De): Costa Verde;2014M03;2,01
Asturias (Principado De): Costa Verde;2014M02;1,72
Asturias (Principado De): Costa Verde;2014M01;3,1
Asturias (Principado De): Costa Verde;2013M12;1,85
Asturias (Principado De): Costa Verde;2013M11;2,47
Asturias (Principado De): Costa Verde;2013M10;2,67
Asturias (Principado De): Costa Verde;2013M09;3,27
Asturias (Principado De): Costa Verde;2013M08;5,33
Asturias (Principado De): Costa Verde;2013M07;4,21
Asturias (Principado De): Costa Verde;2013M06;2,82
Asturias (Principado De): Costa Verde;2013M05;4,02
Asturias (Principado De): Costa Verde;2013M04;4,6
Asturias (Principado De): Costa Verde;2013M03;4,02
Asturias (Principado De): Costa Verde;2013M02;13,03
Asturias (Principado De): Costa Verde;2013M01;18,81
Asturias (Principado De): Costa Verde;2012M12;6,78
Asturias (Principado De): Costa Verde;2012M11;5,75
Asturias (Principado De): Costa Verde;2012M10;5,02
Asturias (Principado De): Costa Verde;2012M09;4,48
Asturias (Principado De): Costa Verde;2012M08;5,25
Asturias (Principado De): Costa Verde;2012M07;4,45
Asturias (Principado De): Costa Verde;2012M06;3,08
Asturias (Principado De): Costa Verde;2012M05;4,5
Asturias (Principado De): Costa Verde;2012M04;3,63
Asturias (Principado De): Costa Verde;2012M03;3,07
Asturias (Principado De): Costa Verde;2012M02;10,42
Asturias (Principado De): Costa Verde;2012M01;4,07
Asturias (Principado De): Costa Verde;2011M12;2,43
Asturias (Principado De): Costa Verde;2011M11;4,25
Asturias (Principado De): Costa Verde;2011M10;3,39
Asturias (Principado De): Costa Verde;2011M09;3,63
Asturias (Principado De): Costa Verde;2011M08;6,44
Asturias (Principado De): Costa Verde;2011M07;5,61
Asturias (Principado De): Costa Verde;2011M06;5,23
Asturias (Principado De): Costa Verde;2011M05;3,3
Asturias (Principado De): Costa Verde;2011M04;3,78
Asturias (Principado De): Costa Verde;2011M03;4,21
Asturias (Principado De): Costa Verde;2011M02;3,33
Asturias (Principado De): Costa Verde;2011M01;4,38
Asturias (Principado De): Costa Verde;2010M12;3,53
Asturias (Principado De): Costa Verde;2010M11;3,68
Asturias (Principado De): Costa Verde;2010M10;4,62
Asturias (Principado De): Costa Verde;2010M09;5,74
Asturias (Principado De): Costa Verde;2010M08;6,69
Asturias (Principado De): Costa Verde;2010M07;5,72
Asturias (Principado De): Costa Verde;2010M06;3,72
Asturias (Principado De): Costa Verde;2010M05;5,04
Asturias (Principado De): Costa Verde;2010M04;3,75
Asturias (Principado De): Costa Verde;2010M03;4,46
Asturias (Principado De): Costa Verde;2010M02;3,74
Asturias (Principado De): Costa Verde;2010M01;5,09
Asturias (Principado De): Costa Verde;2009M12;3,25
Asturias (Principado De): Costa Verde;2009M11;3,2
Asturias (Principado De): Costa Verde;2009M10;2,63
Asturias (Principado De): Costa Verde;2009M09;4,08
Asturias (Principado De): Costa Verde;2009M08;6,92
Asturias (Principado De): Costa Verde;2009M07;5,31
Asturias (Principado De): Costa Verde;2009M06;2,83
Asturias (Principado De): Costa Verde;2009M05;2,28
Asturias (Principado De): Costa Verde;2009M04;3,33
Asturias (Principado De): Costa Verde;2009M03;2,92
Asturias (Principado De): Costa Verde;2009M02;5,25
Asturias (Principado De): Costa Verde;2009M01;3,97
Asturias (Principado De): Costa Verde;2008M12;2,91
Asturias (Principado De): Costa Verde;2008M11;3,32
Asturias (Principado De): Costa Verde;2008M10;4,4
Asturias (Principado De): Costa Verde;2008M09;4,68
Asturias (Principado De): Costa Verde;2008M08;7,07
Asturias (Principado De): Costa Verde;2008M07;6,35
Asturias (Principado De): Costa Verde;2008M06;3,67
Asturias (Principado De): Costa Verde;2008M05;3,13
Asturias (Principado De): Costa Verde;2008M04;3,55
Asturias (Principado De): Costa Verde;2008M03;3,96
Asturias (Principado De): Costa Verde;2008M02;3,13
Asturias (Principado De): Costa Verde;2008M01;5,89
Asturias (Principado De): Costa Verde;2007M12;3,64
Asturias (Principado De): Costa Verde;2007M11;6,75
Asturias (Principado De): Costa Verde;2007M10;2,86
Asturias (Principado De): Costa Verde;2007M09;5,63
Asturias (Principado De): Costa Verde;2007M08;7,98
Asturias (Principado De): Costa Verde;2007M07;6,64
Asturias (Principado De): Costa Verde;2007M06;3,82
Asturias (Principado De): Costa Verde;2007M05;3
Asturias (Principado De): Costa Verde;2007M04;3,64
Asturias (Principado De): Costa Verde;2007M03;3,74
Asturias (Principado De): Costa Verde;2007M02;2,8
Asturias (Principado De): Costa Verde;2007M01;4,7
Asturias (Principado De): Costa Verde;2006M12;3,83
Asturias (Principado De): Costa Verde;2006M11;4,52
Asturias (Principado De): Costa Verde;2006M10;3,98
Asturias (Principado De): Costa Verde;2006M09;4,52
Asturias (Principado De): Costa Verde;2006M08;8,35
Asturias (Principado De): Costa Verde;2006M07;6,97
Asturias (Principado De): Costa Verde;2006M06;3,68
Asturias (Principado De): Costa Verde;2006M05;4,15
Asturias (Principado De): Costa Verde;2006M04;3,41
Asturias (Principado De): Costa Verde;2006M03;5,48
Asturias (Principado De): Costa Verde;2006M02;5,48
Asturias (Principado De): Costa Verde;2006M01;6,3
Asturias (Principado De): Costa Verde;2005M12;4,29
Asturias (Principado De): Costa Verde;2005M11;3,81
Asturias (Principado De): Costa Verde;2005M10;4,34
Asturias (Principado De): Costa Verde;2005M09;5,24
Asturias (Principado De): Costa Verde;2005M08;8,13
Asturias (Principado De): Costa Verde;2005M07;6,45
Asturias (Principado De): Costa Verde;2005M06;4,03
Asturias (Principado De): Costa Verde;2005M05;3,47
Asturias (Principado De): Costa Verde;2005M04;2,61
Asturias (Principado De): Costa Verde;2005M03;3,97
Asturias (Principado De): Costa Verde;2005M02;4,24
Asturias (Principado De): Costa Verde;2005M01;6,6
Baleares (Illes): Isla De Mallorca;2022M08;7,09
Baleares (Illes): Isla De Mallorca;2022M07;6,27
Baleares (Illes): Isla De Mallorca;2022M06;5,9
Baleares (Illes): Isla De Mallorca;2022M05;4,99
Baleares (Illes): Isla De Mallorca;2022M04;4,91
Baleares (Illes): Isla De Mallorca;2022M03;7,45
Baleares (Illes): Isla De Mallorca;2022M02;5,82
Baleares (Illes): Isla De Mallorca;2022M01;6,7
Baleares (Illes): Isla De Mallorca;2021M12;5,73
Baleares (Illes): Isla De Mallorca;2021M11;7,4
Baleares (Illes): Isla De Mallorca;2021M10;5,6
Baleares (Illes): Isla De Mallorca;2021M09;6,1
Baleares (Illes): Isla De Mallorca;2021M08;6,73
Baleares (Illes): Isla De Mallorca;2021M07;5,71
Baleares (Illes): Isla De Mallorca;2021M06;5,92
Baleares (Illes): Isla De Mallorca;2021M05;7,25
Baleares (Illes): Isla De Mallorca;2021M04;11,6
Baleares (Illes): Isla De Mallorca;2021M03;8,9
Baleares (Illes): Isla De Mallorca;2021M02;10,57
Baleares (Illes): Isla De Mallorca;2021M01;13,14
Baleares (Illes): Isla De Mallorca;2020M12;7,9
Baleares (Illes): Isla De Mallorca;2020M11;7,27
Baleares (Illes): Isla De Mallorca;2020M10;8,82
Baleares (Illes): Isla De Mallorca;2020M09;6,6
Baleares (Illes): Isla De Mallorca;2020M08;6,23
Baleares (Illes): Isla De Mallorca;2020M07;6,76
Baleares (Illes): Isla De Mallorca;2020M06;.
Baleares (Illes): Isla De Mallorca;2020M05;.
Baleares (Illes): Isla De Mallorca;2020M04;0
Baleares (Illes): Isla De Mallorca;2020M03;10,5
Baleares (Illes): Isla De Mallorca;2020M02;7,03
Baleares (Illes): Isla De Mallorca;2020M01;7,99
Baleares (Illes): Isla De Mallorca;2019M12;5,3
Baleares (Illes): Isla De Mallorca;2019M11;5,9
Baleares (Illes): Isla De Mallorca;2019M10;6,82
Baleares (Illes): Isla De Mallorca;2019M09;6,9
Baleares (Illes): Isla De Mallorca;2019M08;7,27
Baleares (Illes): Isla De Mallorca;2019M07;6,85
Baleares (Illes): Isla De Mallorca;2019M06;6,65
Baleares (Illes): Isla De Mallorca;2019M05;6,54
Baleares (Illes): Isla De Mallorca;2019M04;6,03
Baleares (Illes): Isla De Mallorca;2019M03;6,66
Baleares (Illes): Isla De Mallorca;2019M02;7,41
Baleares (Illes): Isla De Mallorca;2019M01;10,24
Baleares (Illes): Isla De Mallorca;2018M12;7,07
Baleares (Illes): Isla De Mallorca;2018M11;7,06
Baleares (Illes): Isla De Mallorca;2018M10;8,19
Baleares (Illes): Isla De Mallorca;2018M09;6,99
Baleares (Illes): Isla De Mallorca;2018M08;7,85
Baleares (Illes): Isla De Mallorca;2018M07;7,05
Baleares (Illes): Isla De Mallorca;2018M06;6,74
Baleares (Illes): Isla De Mallorca;2018M05;5,97
Baleares (Illes): Isla De Mallorca;2018M04;5,87
Baleares (Illes): Isla De Mallorca;2018M03;6,45
Baleares (Illes): Isla De Mallorca;2018M02;6,88
Baleares (Illes): Isla De Mallorca;2018M01;8,95
Baleares (Illes): Isla De Mallorca;2017M12;6,57
Baleares (Illes): Isla De Mallorca;2017M11;8,01
Baleares (Illes): Isla De Mallorca;2017M10;7,38
Baleares (Illes): Isla De Mallorca;2017M09;7,11
Baleares (Illes): Isla De Mallorca;2017M08;8,43
Baleares (Illes): Isla De Mallorca;2017M07;6,9
Baleares (Illes): Isla De Mallorca;2017M06;6,83
Baleares (Illes): Isla De Mallorca;2017M05;5,8
Baleares (Illes): Isla De Mallorca;2017M04;5,61
Baleares (Illes): Isla De Mallorca;2017M03;6,87
Baleares (Illes): Isla De Mallorca;2017M02;6,61
Baleares (Illes): Isla De Mallorca;2017M01;7,24
Baleares (Illes): Isla De Mallorca;2016M12;7,15
Baleares (Illes): Isla De Mallorca;2016M11;8,32
Baleares (Illes): Isla De Mallorca;2016M10;7,65
Baleares (Illes): Isla De Mallorca;2016M09;7,38
Baleares (Illes): Isla De Mallorca;2016M08;8,15
Baleares (Illes): Isla De Mallorca;2016M07;7,94
Baleares (Illes): Isla De Mallorca;2016M06;6,91
Baleares (Illes): Isla De Mallorca;2016M05;6,2
Baleares (Illes): Isla De Mallorca;2016M04;5,84
Baleares (Illes): Isla De Mallorca;2016M03;5,11
Baleares (Illes): Isla De Mallorca;2016M02;6,75
Baleares (Illes): Isla De Mallorca;2016M01;10,3
Baleares (Illes): Isla De Mallorca;2015M12;6,51
Baleares (Illes): Isla De Mallorca;2015M11;6,37
Baleares (Illes): Isla De Mallorca;2015M10;8,24
Baleares (Illes): Isla De Mallorca;2015M09;7,99
Baleares (Illes): Isla De Mallorca;2015M08;8,23
Baleares (Illes): Isla De Mallorca;2015M07;8,06
Baleares (Illes): Isla De Mallorca;2015M06;7,15
Baleares (Illes): Isla De Mallorca;2015M05;6,31
Baleares (Illes): Isla De Mallorca;2015M04;6,2
Baleares (Illes): Isla De Mallorca;2015M03;7,12
Baleares (Illes): Isla De Mallorca;2015M02;6,87
Baleares (Illes): Isla De Mallorca;2015M01;7,22
Baleares (Illes): Isla De Mallorca;2014M12;6,12
Baleares (Illes): Isla De Mallorca;2014M11;6,14
Baleares (Illes): Isla De Mallorca;2014M10;7,27
Baleares (Illes): Isla De Mallorca;2014M09;7,49
Baleares (Illes): Isla De Mallorca;2014M08;8,04
Baleares (Illes): Isla De Mallorca;2014M07;7,04
Baleares (Illes): Isla De Mallorca;2014M06;7,25
Baleares (Illes): Isla De Mallorca;2014M05;6,51
Baleares (Illes): Isla De Mallorca;2014M04;5,5
Baleares (Illes): Isla De Mallorca;2014M03;7,88
Baleares (Illes): Isla De Mallorca;2014M02;9,18
Baleares (Illes): Isla De Mallorca;2014M01;10,22
Baleares (Illes): Isla De Mallorca;2013M12;6,46
Baleares (Illes): Isla De Mallorca;2013M11;6,89
Baleares (Illes): Isla De Mallorca;2013M10;8,39
Baleares (Illes): Isla De Mallorca;2013M09;7,94
Baleares (Illes): Isla De Mallorca;2013M08;8,09
Baleares (Illes): Isla De Mallorca;2013M07;7,03
Baleares (Illes): Isla De Mallorca;2013M06;7,51
Baleares (Illes): Isla De Mallorca;2013M05;6,66
Baleares (Illes): Isla De Mallorca;2013M04;5,99
Baleares (Illes): Isla De Mallorca;2013M03;6,73
Baleares (Illes): Isla De Mallorca;2013M02;8,17
Baleares (Illes): Isla De Mallorca;2013M01;10,75
Baleares (Illes): Isla De Mallorca;2012M12;6,43
Baleares (Illes): Isla De Mallorca;2012M11;7,83
Baleares (Illes): Isla De Mallorca;2012M10;8,23
Baleares (Illes): Isla De Mallorca;2012M09;7,52
Baleares (Illes): Isla De Mallorca;2012M08;8
Baleares (Illes): Isla De Mallorca;2012M07;8,26
Baleares (Illes): Isla De Mallorca;2012M06;7,16
Baleares (Illes): Isla De Mallorca;2012M05;5,98
Baleares (Illes): Isla De Mallorca;2012M04;5,74
Baleares (Illes): Isla De Mallorca;2012M03;7,38
Baleares (Illes): Isla De Mallorca;2012M02;7,96
Baleares (Illes): Isla De Mallorca;2012M01;9,13
Baleares (Illes): Isla De Mallorca;2011M12;6,24
Baleares (Illes): Isla De Mallorca;2011M11;7,9
Baleares (Illes): Isla De Mallorca;2011M10;7,54
Baleares (Illes): Isla De Mallorca;2011M09;7,81
Baleares (Illes): Isla De Mallorca;2011M08;8,07
Baleares (Illes): Isla De Mallorca;2011M07;7,78
Baleares (Illes): Isla De Mallorca;2011M06;7,41
Baleares (Illes): Isla De Mallorca;2011M05;6,66
Baleares (Illes): Isla De Mallorca;2011M04;5,47
Baleares (Illes): Isla De Mallorca;2011M03;8,61
Baleares (Illes): Isla De Mallorca;2011M02;7,05
Baleares (Illes): Isla De Mallorca;2011M01;9,62
Baleares (Illes): Isla De Mallorca;2010M12;6,11
Baleares (Illes): Isla De Mallorca;2010M11;8,17
Baleares (Illes): Isla De Mallorca;2010M10;7,95
Baleares (Illes): Isla De Mallorca;2010M09;8,86
Baleares (Illes): Isla De Mallorca;2010M08;8,75
Baleares (Illes): Isla De Mallorca;2010M07;8,32
Baleares (Illes): Isla De Mallorca;2010M06;7,06
Baleares (Illes): Isla De Mallorca;2010M05;7,12
Baleares (Illes): Isla De Mallorca;2010M04;5,22
Baleares (Illes): Isla De Mallorca;2010M03;5,59
Baleares (Illes): Isla De Mallorca;2010M02;6,47
Baleares (Illes): Isla De Mallorca;2010M01;5,55
Baleares (Illes): Isla De Mallorca;2009M12;6,2
Baleares (Illes): Isla De Mallorca;2009M11;7,37
Baleares (Illes): Isla De Mallorca;2009M10;8,88
Baleares (Illes): Isla De Mallorca;2009M09;7,34
Baleares (Illes): Isla De Mallorca;2009M08;8,89
Baleares (Illes): Isla De Mallorca;2009M07;9,49
Baleares (Illes): Isla De Mallorca;2009M06;7,7
Baleares (Illes): Isla De Mallorca;2009M05;6,2
Baleares (Illes): Isla De Mallorca;2009M04;7,51
Baleares (Illes): Isla De Mallorca;2009M03;8,9
Baleares (Illes): Isla De Mallorca;2009M02;9,41
Baleares (Illes): Isla De Mallorca;2009M01;12,77
Baleares (Illes): Isla De Mallorca;2008M12;8,01
Baleares (Illes): Isla De Mallorca;2008M11;9,22
Baleares (Illes): Isla De Mallorca;2008M10;8,89
Baleares (Illes): Isla De Mallorca;2008M09;8,79
Baleares (Illes): Isla De Mallorca;2008M08;9,46
Baleares (Illes): Isla De Mallorca;2008M07;9,6
Baleares (Illes): Isla De Mallorca;2008M06;8,72
Baleares (Illes): Isla De Mallorca;2008M05;7,67
Baleares (Illes): Isla De Mallorca;2008M04;7,37
Baleares (Illes): Isla De Mallorca;2008M03;10
Baleares (Illes): Isla De Mallorca;2008M02;10,85
Baleares (Illes): Isla De Mallorca;2008M01;10,84
Baleares (Illes): Isla De Mallorca;2007M12;9,46
Baleares (Illes): Isla De Mallorca;2007M11;9,13
Baleares (Illes): Isla De Mallorca;2007M10;8,81
Baleares (Illes): Isla De Mallorca;2007M09;8,99
Baleares (Illes): Isla De Mallorca;2007M08;10,07
Baleares (Illes): Isla De Mallorca;2007M07;10,47
Baleares (Illes): Isla De Mallorca;2007M06;9,2
Baleares (Illes): Isla De Mallorca;2007M05;8,15
Baleares (Illes): Isla De Mallorca;2007M04;7,55
Baleares (Illes): Isla De Mallorca;2007M03;8,91
Baleares (Illes): Isla De Mallorca;2007M02;8,26
Baleares (Illes): Isla De Mallorca;2007M01;8,59
Baleares (Illes): Isla De Mallorca;2006M12;6,93
Baleares (Illes): Isla De Mallorca;2006M11;7,83
Baleares (Illes): Isla De Mallorca;2006M10;7,83
Baleares (Illes): Isla De Mallorca;2006M09;7,82
Baleares (Illes): Isla De Mallorca;2006M08;8,98
Baleares (Illes): Isla De Mallorca;2006M07;9,33
Baleares (Illes): Isla De Mallorca;2006M06;8,5
Baleares (Illes): Isla De Mallorca;2006M05;6,68
Baleares (Illes): Isla De Mallorca;2006M04;6,98
Baleares (Illes): Isla De Mallorca;2006M03;9,93
Baleares (Illes): Isla De Mallorca;2006M02;8,63
Baleares (Illes): Isla De Mallorca;2006M01;9,04
Baleares (Illes): Isla De Mallorca;2005M12;7,28
Baleares (Illes): Isla De Mallorca;2005M11;6,95
Baleares (Illes): Isla De Mallorca;2005M10;8,01
Baleares (Illes): Isla De Mallorca;2005M09;8,59
Baleares (Illes): Isla De Mallorca;2005M08;8,58
Baleares (Illes): Isla De Mallorca;2005M07;8,32
Baleares (Illes): Isla De Mallorca;2005M06;7,25
Baleares (Illes): Isla De Mallorca;2005M05;7,59
Baleares (Illes): Isla De Mallorca;2005M04;5,66
Baleares (Illes): Isla De Mallorca;2005M03;7,98
Baleares (Illes): Isla De Mallorca;2005M02;7,17
Baleares (Illes): Isla De Mallorca;2005M01;5,84
Canarias: Isla De Gran Canaria;2022M08;7,58
Canarias: Isla De Gran Canaria;2022M07;7,04
Canarias: Isla De Gran Canaria;2022M06;6,39
Canarias: Isla De Gran Canaria;2022M05;6,77
Canarias: Isla De Gran Canaria;2022M04;7,17
Canarias: Isla De Gran Canaria;2022M03;8,75
Canarias: Isla De Gran Canaria;2022M02;8,35
Canarias: Isla De Gran Canaria;2022M01;9,81
Canarias: Isla De Gran Canaria;2021M12;8,25
Canarias: Isla De Gran Canaria;2021M11;8,41
Canarias: Isla De Gran Canaria;2021M10;7,13
Canarias: Isla De Gran Canaria;2021M09;6,98
Canarias: Isla De Gran Canaria;2021M08;6,61
Canarias: Isla De Gran Canaria;2021M07;5,97
Canarias: Isla De Gran Canaria;2021M06;5,32
Canarias: Isla De Gran Canaria;2021M05;4,68
Canarias: Isla De Gran Canaria;2021M04;5,11
Canarias: Isla De Gran Canaria;2021M03;5,24
Canarias: Isla De Gran Canaria;2021M02;7,13
Canarias: Isla De Gran Canaria;2021M01;8,61
Canarias: Isla De Gran Canaria;2020M12;7,97
Canarias: Isla De Gran Canaria;2020M11;7,02
Canarias: Isla De Gran Canaria;2020M10;4,4
Canarias: Isla De Gran Canaria;2020M09;5,14
Canarias: Isla De Gran Canaria;2020M08;6,41
Canarias: Isla De Gran Canaria;2020M07;5,44
Canarias: Isla De Gran Canaria;2020M06;.
Canarias: Isla De Gran Canaria;2020M05;.
Canarias: Isla De Gran Canaria;2020M04;0
Canarias: Isla De Gran Canaria;2020M03;13,35
Canarias: Isla De Gran Canaria;2020M02;9,36
Canarias: Isla De Gran Canaria;2020M01;10,42
Canarias: Isla De Gran Canaria;2019M12;9,2
Canarias: Isla De Gran Canaria;2019M11;8,85
Canarias: Isla De Gran Canaria;2019M10;7,98
Canarias: Isla De Gran Canaria;2019M09;7,85
Canarias: Isla De Gran Canaria;2019M08;8,01
Canarias: Isla De Gran Canaria;2019M07;7,42
Canarias: Isla De Gran Canaria;2019M06;6,78
Canarias: Isla De Gran Canaria;2019M05;7,08
Canarias: Isla De Gran Canaria;2019M04;7,95
Canarias: Isla De Gran Canaria;2019M03;9,21
Canarias: Isla De Gran Canaria;2019M02;9,83
Canarias: Isla De Gran Canaria;2019M01;10,43
Canarias: Isla De Gran Canaria;2018M12;8,74
Canarias: Isla De Gran Canaria;2018M11;9,42
Canarias: Isla De Gran Canaria;2018M10;8,34
Canarias: Isla De Gran Canaria;2018M09;7,99
Canarias: Isla De Gran Canaria;2018M08;8,04
Canarias: Isla De Gran Canaria;2018M07;7,49
Canarias: Isla De Gran Canaria;2018M06;6,77
Canarias: Isla De Gran Canaria;2018M05;7,29
Canarias: Isla De Gran Canaria;2018M04;7,59
Canarias: Isla De Gran Canaria;2018M03;8,82
Canarias: Isla De Gran Canaria;2018M02;9,59
Canarias: Isla De Gran Canaria;2018M01;9,65
Canarias: Isla De Gran Canaria;2017M12;8,78
Canarias: Isla De Gran Canaria;2017M11;8,94
Canarias: Isla De Gran Canaria;2017M10;7,99
Canarias: Isla De Gran Canaria;2017M09;7,76
Canarias: Isla De Gran Canaria;2017M08;8,37
Canarias: Isla De Gran Canaria;2017M07;7,57
Canarias: Isla De Gran Canaria;2017M06;6,75
Canarias: Isla De Gran Canaria;2017M05;6,93
Canarias: Isla De Gran Canaria;2017M04;7,37
Canarias: Isla De Gran Canaria;2017M03;8,87
Canarias: Isla De Gran Canaria;2017M02;10,24
Canarias: Isla De Gran Canaria;2017M01;10,7
Canarias: Isla De Gran Canaria;2016M12;9,02
Canarias: Isla De Gran Canaria;2016M11;9,71
