Zonas  Turísticas;Apartamentos y personal empleado;Periodo;Total
Andalucía: Costa De Almería;Número de plazas estimadas;2014M11;4.670
Andalucía: Costa De Almería;Número de plazas estimadas;2014M10;5.771
Andalucía: Costa De Almería;Número de plazas estimadas;2014M09;11.137
Andalucía: Costa De Almería;Número de plazas estimadas;2014M08;11.358
Andalucía: Costa De Almería;Número de plazas estimadas;2014M07;11.346
Andalucía: Costa De Almería;Número de plazas estimadas;2014M06;10.983
Andalucía: Costa De Almería;Número de plazas estimadas;2014M05;8.051
Andalucía: Costa De Almería;Número de plazas estimadas;2014M04;7.939
Andalucía: Costa De Almería;Número de plazas estimadas;2014M03;4.452
Andalucía: Costa De Almería;Número de plazas estimadas;2014M02;4.672
Andalucía: Costa De Almería;Número de plazas estimadas;2014M01;4.525
Andalucía: Costa De Almería;Número de plazas estimadas;2013M12;4.460
Andalucía: Costa De Almería;Número de plazas estimadas;2013M11;4.774
Andalucía: Costa De Almería;Número de plazas estimadas;2013M10;5.780
Andalucía: Costa De Almería;Número de plazas estimadas;2013M09;10.753
Andalucía: Costa De Almería;Número de plazas estimadas;2013M08;10.794
Andalucía: Costa De Almería;Número de plazas estimadas;2013M07;10.727
Andalucía: Costa De Almería;Número de plazas estimadas;2013M06;10.175
Andalucía: Costa De Almería;Número de plazas estimadas;2013M05;8.664
Andalucía: Costa De Almería;Número de plazas estimadas;2013M04;8.577
Andalucía: Costa De Almería;Número de plazas estimadas;2013M03;5.757
Andalucía: Costa De Almería;Número de plazas estimadas;2013M02;4.282
Andalucía: Costa De Almería;Número de plazas estimadas;2013M01;4.216
Andalucía: Costa De Almería;Número de plazas estimadas;2012M12;4.312
Andalucía: Costa De Almería;Número de plazas estimadas;2012M11;4.479
Andalucía: Costa De Almería;Número de plazas estimadas;2012M10;5.046
Andalucía: Costa De Almería;Número de plazas estimadas;2012M09;9.905
Andalucía: Costa De Almería;Número de plazas estimadas;2012M08;10.347
Andalucía: Costa De Almería;Número de plazas estimadas;2012M07;10.128
Andalucía: Costa De Almería;Número de plazas estimadas;2012M06;9.038
Andalucía: Costa De Almería;Número de plazas estimadas;2012M05;8.196
Andalucía: Costa De Almería;Número de plazas estimadas;2012M04;8.017
Andalucía: Costa De Almería;Número de plazas estimadas;2012M03;5.375
Andalucía: Costa De Almería;Número de plazas estimadas;2012M02;4.347
Andalucía: Costa De Almería;Número de plazas estimadas;2012M01;3.944
Andalucía: Costa De Almería;Número de plazas estimadas;2011M12;4.039
Andalucía: Costa De Almería;Número de plazas estimadas;2011M11;5.109
Andalucía: Costa De Almería;Número de plazas estimadas;2011M10;5.234
Andalucía: Costa De Almería;Número de plazas estimadas;2011M09;8.338
Andalucía: Costa De Almería;Número de plazas estimadas;2011M08;8.428
Andalucía: Costa De Almería;Número de plazas estimadas;2011M07;8.456
Andalucía: Costa De Almería;Número de plazas estimadas;2011M06;8.618
Andalucía: Costa De Almería;Número de plazas estimadas;2011M05;8.297
Andalucía: Costa De Almería;Número de plazas estimadas;2011M04;8.152
Andalucía: Costa De Almería;Número de plazas estimadas;2011M03;4.079
Andalucía: Costa De Almería;Número de plazas estimadas;2011M02;4.079
Andalucía: Costa De Almería;Número de plazas estimadas;2011M01;4.010
Andalucía: Costa De Almería;Número de plazas estimadas;2010M12;4.053
Andalucía: Costa De Almería;Número de plazas estimadas;2010M11;4.110
Andalucía: Costa De Almería;Número de plazas estimadas;2010M10;4.928
